Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Original Price,Sale Price,Original Class,Sale Class
Redmi,4.0,64.0,8,12,5000,7999,7999,Budget,Budget
Realme,4.0,64.0,16,64,4300,12999,12999,Budget,Budget
Realme,3.0,32.0,5,12,5000,6999,6999,Budget,Budget
Realme,8.0,128.0,16,64,4300,18999,18999,Mid-Range,Mid-Range
Vivo,3.0,32.0,8,13,5000,8990,8990,Budget,Budget
Realme,6.0,64.0,16,64,4300,16999,16999,Mid-Range,Mid-Range
Realme,4.0,128.0,8,12,5000,9999,11999,Budget,Budget
Realme,4.0,64.0,5,12,5000,7999,7999,Budget,Budget
Redmi,2.0,32.0,8,12,5000,6499,6499,Budget,Budget
I,4.0,64.0,5,8,3000,4499,4499,Low,Low
Realme,6.0,128.0,16,64,4300,14999,14999,Budget,Budget
Realme,3.0,32.0,13,12,5000,8499,8499,Budget,Budget
I,2.0,16.0,0,5,2800,3749,4399,Low,Low
Realme,3.0,32.0,5,13,4000,6999,6999,Budget,Budget
Vivo,6.0,128.0,32,16,5000,15990,14990,Mid-Range,Budget
Vivo,4.0,64.0,32,16,5000,12990,11990,Budget,Budget
Realme,4.0,64.0,16,48,4035,11999,11999,Budget,Budget
Realme,6.0,64.0,16,48,4035,12999,12999,Budget,Budget
Realme,8.0,128.0,16,48,4035,14999,14999,Budget,Budget
Realme,8.0,128.0,16,64,4300,15999,15999,Mid-Range,Mid-Range
OPPO,8.0,256.0,16,48,4065,49990,49990,Premium,Premium
Vivo,3.0,64.0,8,13,5000,9490,9490,Budget,Budget
Redmi,3.0,32.0,8,12,5000,6999,6999,Budget,Budget
POCO,6.0,128.0,20,64,4500,16999,16999,Mid-Range,Mid-Range
POCO,8.0,256.0,20,64,4500,19999,19999,Mid-Range,Mid-Range
Yu,2.0,16.0,5,13,4000,3799,3799,Low,Low
Lava,0.0234375,0.0234375,0,0,800,745,745,Low,Low
I,2.0,16.0,0,5,2800,3699,3699,Low,Low
Vivo,6.0,128.0,32,48,4500,16990,16990,Mid-Range,Mid-Range
Vivo,6.0,64.0,32,48,4500,15990,15990,Mid-Range,Mid-Range
Vivo,8.0,128.0,32,48,4500,17990,17990,Mid-Range,Mid-Range
POCO,8.0,256.0,20,12,4000,16999,16999,Mid-Range,Mid-Range
OnePlus,8.0,256.0,16,48,3800,37999,37095,Premium,Premium
Redmi,4.0,64.0,13,48,4000,9999,9999,Budget,Budget
Realme,8.0,128.0,16,64,4000,17999,17999,Mid-Range,Mid-Range
Nokia,0.00390625,0.00390625,0,0,800,1075,1084,Low,Low
Nokia,0.00390625,0.00390625,0,0,800,1077,1079,Low,Low
Nokia,0.00390625,0.00390625,0,0,800,1097,1097,Low,Low
Nokia,0.00390625,0.00390625,0,0,800,1099,1099,Low,Low
Moto,4.0,64.0,8,13,3000,7499,7499,Budget,Budget
Google,4.0,64.0,8,12,3000,26999,26999,Mid-Range,Mid-Range
OnePlus,8.0,128.0,16,48,3800,35490,35635,Premium,Premium
Infinix,4.0,64.0,8,13,5000,7499,7499,Budget,Budget
OPPO,4.0,64.0,16,13,4230,15999,15999,Mid-Range,Mid-Range
Vivo,8.0,128.0,32,48,4500,18990,18990,Mid-Range,Mid-Range
Honor,4.0,128.0,32,24,3400,9999,9999,Budget,Budget
Honor,4.0,128.0,32,24,3400,10999,10999,Budget,Budget
Micromax,0.03125,0.03125,0,1,800,688,690,Low,Low
Micromax,0.03125,0.03125,0,0,2500,770,770,Low,Low
OPPO,4.0,64.0,8,12,4230,11490,11490,Budget,Budget
OPPO,6.0,64.0,16,48,4000,15990,15990,Mid-Range,Mid-Range
Vivo,2.0,32.0,5,13,4030,6990,6990,Budget,Budget
Tecno,4.0,64.0,16,48,5000,9999,9999,Budget,Budget
Samsung,4.0,64.0,8,12,3000,19999,19999,Mid-Range,Mid-Range
Redmi,6.0,64.0,20,12,4000,12999,8999,Budget,Budget
Realme,4.0,128.0,16,48,3765,14999,14999,Budget,Budget
Redmi,8.0,128.0,0,64,4500,19999,19395,Mid-Range,Mid-Range
Redmi,6.0,128.0,0,64,4500,16698,17399,Mid-Range,Mid-Range
Redmi,6.0,64.0,0,64,4500,15401,15745,Mid-Range,Mid-Range
Redmi,6.0,128.0,0,64,4500,16499,16969,Mid-Range,Mid-Range
Vivo,3.0,32.0,8,13,4030,8490,8490,Budget,Budget
Vivo,4.0,128.0,16,16,5000,13990,13990,Budget,Budget
I,2.0,16.0,0,5,2500,3199,2999,Low,Low
Redmi,6.0,64.0,13,48,4000,10999,10999,Budget,Budget
OPPO,8.0,128.0,16,48,4000,19990,19990,Mid-Range,Mid-Range
Vivo,3.0,64.0,8,13,5000,9990,9990,Budget,Budget
Lava,0.00390625,0.0029296879999999997,0,0,1750,949,949,Low,Low
Redmi,3.0,32.0,8,13,5000,7888,7790,Budget,Budget
Redmi,2.0,32.0,8,13,5000,7350,7366,Budget,Budget
Redmi,3.0,32.0,8,13,5000,7999,7428,Budget,Budget
Mi,6.0,128.0,5,12,3400,14999,14999,Budget,Budget
Vivo,6.0,64.0,0,16,5000,12970,12756,Budget,Budget
Redmi,6.0,64.0,0,64,4500,15221,14965,Mid-Range,Budget
Samsung,4.0,64.0,0,48,6000,14999,14990,Budget,Budget
Samsung,3.0,32.0,8,13,4000,10099,9499,Budget,Budget
Vivo,4.0,64.0,0,16,5000,13999,11990,Budget,Budget
Samsung,8.0,128.0,32,64,4500,29999,29999,Mid-Range,Mid-Range
Redmi,6.0,128.0,20,48,4000,23999,23999,Mid-Range,Mid-Range
Samsung,2.0,32.0,8,13,4000,8499,8499,Budget,Budget
Micromax,0.03125,0.03125,0,0,3000,999,999,Low,Low
Vivo,4.0,128.0,20,13,5000,13990,13990,Budget,Budget
Micromax,0.0546875,0.0234375,0,0,1750,762,760,Low,Low
Micromax,0.03125,0.03125,0,0,1750,1086,1089,Low,Low
OPPO,4.0,64.0,8,13,4230,7990,7990,Budget,Budget
Asus,3.0,32.0,8,13,4000,5499,5499,Budget,Budget
Vivo,6.0,128.0,32,16,4500,17990,17990,Mid-Range,Mid-Range
OPPO,4.0,64.0,8,12,5000,12990,12990,Budget,Budget
Samsung,0.009765625,0.001953125,0,0,1000,2292,1990,Low,Low
Redmi,3.0,32.0,13,48,4000,8999,8999,Budget,Budget
Motorola,4.0,128.0,12,12,3500,10999,9999,Budget,Budget
Micromax,0.03125,0.03125,0,1,800,707,705,Low,Low
Realme,4.0,64.0,16,64,4000,14999,14999,Budget,Budget
Snexian,0.25,0.25,0,1,1080,649,649,Low,Low
Honor,6.0,128.0,16,48,4000,16999,16999,Mid-Range,Mid-Range
Nokia,6.0,64.0,20,48,3500,17099,17099,Mid-Range,Mid-Range
I,0.03125,0.0625,0,0,1000,639,616,Low,Low
EcoTel,0.03125,0.0625,0,0,1000,599,599,Low,Low
Gionee,3.0,32.0,13,13,4050,5999,5999,Budget,Budget
Nokia,0.00390625,0.00390625,0,0,800,1247,1266,Low,Low
Lenovo,4.0,64.0,16,16,4050,8999,8999,Budget,Budget
Motorola,4.0,64.0,8,13,4000,8999,8999,Budget,Budget
Vivo,6.0,128.0,32,48,3700,19990,19990,Mid-Range,Mid-Range
Gfive,0.03125,0.03125,0,1,1000,899,899,Low,Low
Mi,4.0,64.0,32,48,4030,11999,11999,Budget,Budget
Mi,6.0,128.0,32,48,4030,13999,13999,Budget,Budget
Vivo,3.0,32.0,8,13,4030,9450,9990,Budget,Budget
I,0.03125,0.0625,0,0,1000,1199,1099,Low,Low
Asus,3.0,32.0,8,13,4000,6999,6999,Budget,Budget
Lava,0.03125,0.03125,0,1,2500,1399,1399,Low,Low
Micromax,0.03125,0.03125,0,0,3000,1129,1129,Low,Low
Black,6.0,128.0,20,48,4000,19999,19999,Mid-Range,Mid-Range
Lava,0.03125,0.0234375,0,0,1000,1065,1065,Low,Low
Kechaoda,0.03125,0.03125,0,0,850,845,814,Low,Low
Honor,4.0,128.0,16,13,3000,8999,8999,Budget,Budget
OPPO,3.0,64.0,8,12,5000,11490,11490,Budget,Budget
Vivo,4.0,64.0,0,16,5000,12990,12490,Budget,Budget
Micromax,0.03125,0.03125,0,0,1800,869,869,Low,Low
Moto,4.0,64.0,25,48,4000,12999,11999,Budget,Budget
OPPO,8.0,128.0,44,64,4025,29990,29990,Mid-Range,Mid-Range
Redmi,2.0,32.0,5,12,4000,6199,6199,Budget,Budget
Realme,2.0,16.0,5,13,4000,6999,5999,Budget,Budget
Realme,12.0,256.0,16,64,4000,33999,33999,Premium,Premium
Realme,6.0,64.0,16,64,4000,27999,27999,Mid-Range,Mid-Range
Realme,8.0,128.0,16,64,4000,29999,29999,Mid-Range,Mid-Range
Lava,0.0234375,0.0234375,0,0,600,675,675,Low,Low
OPPO,2.0,32.0,5,8,4000,7490,7490,Budget,Budget
Hicell,0.03125,0.0625,0,0,1050,599,599,Low,Low
Micromax,0.03125,0.03125,0,0,1300,880,882,Low,Low
Karbonn,0.03125,0.03125,0,0,1000,699,699,Low,Low
Infinix,4.0,64.0,16,12,4500,6999,6999,Budget,Budget
I,0.03125,0.0625,0,0,1000,1299,1299,Low,Low
Lava,0.03125,0.024414063,0,0,1000,1129,1129,Low,Low
Itel,0.03125,0.03125,0,0,1000,746,746,Low,Low
Nokia,2.0,16.0,5,13,3000,5499,5499,Budget,Budget
I,0.03125,0.0625,0,0,1000,649,479,Low,Low
OPPO,4.0,128.0,16,48,4020,12990,12990,Budget,Budget
OPPO,8.0,128.0,16,48,5000,19499,19499,Mid-Range,Mid-Range
Itel,0.00390625,0.00390625,0,0,3000,1270,1270,Low,Low
Kechaoda,0.03125,0.03125,0,0,800,885,848,Low,Low
Kechaoda,0.03125,0.03125,0,0,800,940,880,Low,Low
Mobiistar,3.0,32.0,13,13,3000,6690,6590,Budget,Budget
Lenovo,4.0,64.0,16,13,4050,7999,7999,Budget,Budget
Easyfone,0.03125,0.03125,0,0,700,3349,3349,Low,Low
Gfive,0.03125,0.03125,0,0,1000,499,499,Low,Low
Lava,0.03125,0.03125,0,1,1200,1479,1439,Low,Low
Realme,6.0,64.0,16,16,3500,10999,10999,Budget,Budget
Nokia,0.00390625,0.00390625,0,0,800,1245,1246,Low,Low
Micromax,0.03125,0.03125,0,0,1750,849,800,Low,Low
Snexian,0.03125,0.03125,0,0,800,1160,1145,Low,Low
Vivo,6.0,64.0,32,16,4500,16990,16990,Mid-Range,Mid-Range
Snexian,0.03125,0.03125,0,0,1000,1145,1145,Low,Low
Lava,0.03125,0.03125,0,1,1750,1579,1599,Low,Low
Redmi,4.0,64.0,13,48,4000,12199,12199,Budget,Budget
Karbonn,0.0625,0.0625,0,0,1800,1050,865,Low,Low
LG,4.0,128.0,5,16,3300,60000,14999,Premium,Budget
Samsung,3.0,32.0,0,13,5000,10996,10999,Budget,Budget
Itel,0.00390625,0.00390625,0,0,3000,1338,1338,Low,Low
Samsung,6.0,128.0,32,48,4000,23999,23999,Mid-Range,Mid-Range
Micromax,2.0,16.0,5,5,2200,3799,3667,Low,Low
Asus,4.0,64.0,13,12,5000,11999,11999,Budget,Budget
I,0.03125,0.03125,0,0,1000,639,479,Low,Low
Karbonn,0.03125,0.03125,0,0,1900,1039,1049,Low,Low
Samsung,4.0,64.0,25,25,4000,13999,13999,Budget,Budget
Karbonn,0.03125,0.03125,0,0,1900,1041,1041,Low,Low
Lava,0.03125,0.0234375,0,0,1000,1050,1050,Low,Low
Jmax,0.03125,0.03125,0,1,1000,499,635,Low,Low
Kechaoda,0.03125,0.03125,0,0,850,949,910,Low,Low
Karbonn,1.0,8.0,5,5,2300,3099,3099,Low,Low
Ismart,2.0,32.0,5,8,3000,5290,4999,Budget,Low
Samsung,8.0,128.0,10,64,4500,73999,73999,Premium,Premium
Karbonn,0.03125,0.03125,0,0,1000,899,899,Low,Low
Lava,0.00390625,0.0029296879999999997,0,0,800,879,879,Low,Low
Redmi,3.0,32.0,5,13,3120,6999,6999,Budget,Budget
Blackbear,0.0625,0.0625,0,1,1450,610,610,Low,Low
Motorola,6.0,128.0,5,16,2510,124999,124999,Premium,Premium
iQOO,8.0,256.0,16,48,4440,39990,39990,Premium,Premium
iQOO,8.0,128.0,16,48,4440,36990,36990,Premium,Premium
OPPO,3.0,32.0,8,13,4230,7490,7490,Budget,Budget
Jmax,0.03125,0.03125,0,1,1050,499,635,Low,Low
XOLO,2.0,16.0,5,8,3000,3999,3699,Low,Low
Lava,1.0,16.0,5,8,3000,4699,4699,Low,Low
I,2.0,16.0,0,5,2200,3299,3499,Low,Low
Kechaoda,0.03125,0.03125,0,0,850,875,875,Low,Low
Samsung,4.0,64.0,16,48,6000,15490,14190,Mid-Range,Budget
LG,6.0,128.0,8,16,3000,16999,16999,Mid-Range,Mid-Range
Karbonn,0.03125,0.03125,0,0,1800,897,897,Low,Low
Muphone,0.03125,0.03125,0,1,1700,999,999,Low,Low
Micromax,0.03125,0.03125,0,1,1000,819,825,Low,Low
OPPO,6.0,128.0,16,48,4000,16990,16990,Mid-Range,Mid-Range
Realme,6.0,64.0,25,16,4045,11999,11999,Budget,Budget
Realme,6.0,128.0,25,16,4045,12999,12999,Budget,Budget
Lenovo,4.0,64.0,16,13,4050,10999,8499,Budget,Budget
Redmi,6.0,64.0,0,64,4500,15991,15298,Mid-Range,Mid-Range
I,0.03125,0.0625,0,0,1500,739,579,Low,Low
Motorola,4.0,128.0,25,48,3500,13999,12999,Budget,Budget
Lava,2.0,16.0,5,8,3380,5549,5549,Budget,Budget
Realme,8.0,128.0,16,48,3765,17999,16999,Mid-Range,Mid-Range
Micromax,0.03125,0.03125,0,1,1000,1020,1020,Low,Low
Kekai,2.0,16.0,5,5,3200,4599,3988,Low,Low
Itel,0.03125,0.03125,0,0,1000,730,730,Low,Low
Kechaoda,0.03125,0.03125,0,0,300,1249,999,Low,Low
Kechaoda,0.03125,0.03125,0,0,300,999,999,Low,Low
Itel,0.03125,0.03125,0,0,2500,983,983,Low,Low
BlackBear,0.03125,0.03125,0,0,1000,599,599,Low,Low
Kechaoda,0.03125,0.03125,0,0,850,1020,905,Low,Low
Kult,3.0,32.0,0,13,4000,5490,4990,Budget,Low
Kechaoda,0.03125,0.0625,0,0,400,949,935,Low,Low
Karbonn,0.03125,0.03125,0,0,1800,899,899,Low,Low
I,0.03125,0.0625,0,0,800,639,479,Low,Low
Samsung,6.0,128.0,10,16,3100,47990,47990,Premium,Premium
Kechaoda,0.03125,0.03125,0,0,800,890,850,Low,Low
YUHO,4.0,32.0,0,13,3300,7199,7199,Budget,Budget
Kechaoda,0.03125,0.03125,0,0,850,850,822,Low,Low
Blackbear,0.0625,0.0625,0,2,1000,599,549,Low,Low
GreenBerry,0.03125,0.0625,0,2,1000,549,549,Low,Low
OPPO,8.0,128.0,16,48,4000,21990,21990,Mid-Range,Mid-Range
Samsung,8.0,128.0,10,64,4000,66999,66999,Premium,Premium
Redmi,8.0,256.0,20,48,4000,27999,27999,Mid-Range,Mid-Range
Peace,0.0625,0.25,0,0,850,540,540,Low,Low
Lava,1.0,16.0,2,5,2500,3899,3899,Low,Low
Kechaoda,0.03125,0.03125,0,0,400,895,885,Low,Low
Lenovo,3.0,32.0,8,13,4000,7999,7999,Budget,Budget
Kechaoda,0.03125,0.03125,0,2,600,1900,1900,Low,Low
Micromax,0.125,0.03125,0,0,1800,1056,1057,Low,Low
Lava,0.03125,0.03125,0,0,800,999,879,Low,Low
Vivo,8.0,128.0,8,12,4000,39990,39990,Premium,Premium
LG,3.0,32.0,16,12,4000,8299,8299,Budget,Budget
Realme,3.0,32.0,8,13,4230,9499,9499,Budget,Budget
Karbonn,0.01171875,0.03125,0,0,1750,1129,1129,Low,Low
Redmi,2.0,32.0,0,12,4000,7995,7995,Budget,Budget
Samsung,6.0,128.0,32,64,4500,23499,25999,Mid-Range,Mid-Range
Micromax,3.0,32.0,5,13,3000,4299,4299,Low,Low
Vivo,6.0,64.0,32,16,4500,17990,17990,Mid-Range,Mid-Range
Infinix,4.0,64.0,16,16,4000,9999,8999,Budget,Budget
Itel,1.0,16.0,2,5,3020,3980,3980,Low,Low
Samsung,6.0,64.0,25,25,4000,17999,17999,Mid-Range,Mid-Range
Kechaoda,0.03125,0.03125,0,0,1000,1350,830,Low,Low
Vivo,6.0,64.0,32,12,4000,19990,15777,Mid-Range,Mid-Range
LG,6.0,128.0,32,12,4000,49990,49990,Premium,Premium
Lenovo,2.0,32.0,5,13,2300,17499,17499,Mid-Range,Mid-Range
OPPO,2.0,16.0,8,13,3180,8990,8990,Budget,Budget
Itel,0.03125,0.03125,0,0,1200,1325,1325,Low,Low
Gionee,2.0,16.0,5,13,3000,5999,5748,Budget,Budget
Vivo,6.0,64.0,25,12,3400,14990,14990,Budget,Budget
Salora,0.03125,0.03125,0,1,2000,659,659,Low,Low
Kechaoda,0.03125,0.0625,0,0,1700,999,999,Low,Low
I,0.03125,0.0625,0,0,1000,1099,1099,Low,Low
I,0.03125,0.0625,0,0,800,539,513,Low,Low
Honor,6.0,128.0,32,48,3750,21999,21999,Mid-Range,Mid-Range
Nokia,3.0,32.0,8,13,3000,9499,9499,Budget,Budget
Karbonn,0.01171875,0.01171875,0,0,800,1399,1303,Low,Low
Good,0.03125,0.03125,0,0,1000,1499,1599,Low,Low
Jmax,0.03125,0.03125,0,1,1050,999,1199,Low,Low
Muphone,0.03125,0.03125,0,0,3800,1029,1029,Low,Low
Micromax,0.03125,0.03125,0,2,1450,1340,1390,Low,Low
OPPO,4.0,32.0,8,13,4230,11990,11990,Budget,Budget
I,0.03125,0.0625,0,0,1000,739,579,Low,Low
Tork,0.03125,0.03125,0,0,1000,799,799,Low,Low
Samsung,4.0,64.0,0,13,5000,12920,12920,Budget,Budget
Mymax,0.03125,0.03125,0,1,1000,899,899,Low,Low
Tecno,4.0,64.0,13,13,6000,10000,8499,Budget,Budget
Nokia,0.00390625,0.00390625,0,1,800,1699,1680,Low,Low
Tecno,4.0,64.0,13,13,6000,11999,11999,Budget,Budget
Mymax,0.03125,0.03125,0,1,1000,565,565,Low,Low
Detel,0.03125,0.03125,0,0,1000,599,599,Low,Low
Easyfone,0.03125,0.03125,0,0,1000,2499,2499,Low,Low
OPPO,6.0,128.0,16,48,4020,16990,16990,Mid-Range,Mid-Range
Asus,8.0,256.0,8,12,3300,18999,18999,Mid-Range,Mid-Range
Infinix,2.0,16.0,8,13,3050,3999,3999,Low,Low
OnePlus,12.0,256.0,16,48,4000,51995,63999,Premium,Premium
Itel,0.0078125,0.0078125,0,0,1900,1368,1368,Low,Low
Honor,4.0,64.0,16,13,3000,8499,8499,Budget,Budget
Micromax,1.0,8.0,2,5,2000,2799,2799,Low,Low
Blackbear,0.0625,0.0625,0,1,1050,799,749,Low,Low
Nokia,3.0,32.0,5,13,4000,8999,8999,Budget,Budget
Samsung,4.0,64.0,16,16,3300,26600,26600,Mid-Range,Mid-Range
Tecno,3.0,32.0,16,13,3750,6990,6990,Budget,Budget
Karbonn,0.0625,0.0625,0,0,1800,970,970,Low,Low
Infinix,4.0,64.0,13,13,4000,9999,9999,Budget,Budget
Samsung,4.0,128.0,16,25,4000,15999,15999,Mid-Range,Mid-Range
Panasonic,3.0,16.0,5,13,5000,8499,8499,Budget,Budget
Karbonn,0.03125,0.03125,0,0,1750,1245,1245,Low,Low
Inovu,0.03125,0.03125,0,0,1000,649,649,Low,Low
Micromax,0.01953125,0.01953125,0,0,3000,1399,1480,Low,Low
Samsung,6.0,128.0,8,12,4000,67900,67900,Premium,Premium
Muphone,0.03125,0.0625,0,0,1700,1099,1099,Low,Low
Intex,0.03125,0.03125,0,0,1300,899,899,Low,Low
POCO,6.0,64.0,20,12,4000,19999,19999,Mid-Range,Mid-Range
Muphone,0.03125,0.03125,0,1,1700,1099,1099,Low,Low
Hicell,0.03125,0.0625,0,0,1050,539,539,Low,Low
Micromax,0.03125,0.03125,0,0,800,850,850,Low,Low
Ismart,2.0,32.0,5,8,3000,5299,4999,Budget,Low
I,0.03125,0.0625,0,0,800,1099,999,Low,Low
Panasonic,1.0,16.0,5,8,2200,5299,5299,Budget,Budget
InFocus,2.0,16.0,8,13,3000,4599,4438,Low,Low
XOLO,2.0,16.0,5,8,2500,6888,6888,Budget,Budget
Karbonn,0.03125,0.03125,0,0,1000,829,829,Low,Low
Karbonn,0.03125,0.03125,0,1,1400,1331,1335,Low,Low
Samsung,4.0,64.0,16,25,4000,14999,14999,Budget,Budget
Micromax,0.03125,0.03125,0,0,2500,1299,1268,Low,Low
I,0.03125,0.0625,0,0,1000,999,999,Low,Low
Micromax,0.0546875,0.0390625,0,0,1000,799,799,Low,Low
InFocus,0.03125,0.03125,0,0,1000,899,787,Low,Low
Gamma,0.03125,0.03125,0,2,2200,1099,1099,Low,Low
Samsung,0.00390625,0.001953125,0,0,1000,2315,2315,Low,Low
Micromax,0.03125,0.03125,0,0,1450,1099,1099,Low,Low
Itel,0.03125,0.03125,0,0,1000,1070,1070,Low,Low
Karbonn,0.03125,0.03125,0,0,1450,949,949,Low,Low
Muphone,0.03125,0.03125,0,1,800,840,840,Low,Low
Itel,0.03125,0.03125,0,0,1200,1345,1345,Low,Low
Gionee,4.0,32.0,16,13,3030,6999,6999,Budget,Budget
Karbonn,1.0,8.0,0,5,2800,3299,3299,Low,Low
Tambo,0.0234375,0.0234375,0,0,1000,840,840,Low,Low
Kechaoda,0.03125,0.03125,0,0,800,899,850,Low,Low
Inovu,0.03125,0.03125,0,0,1000,599,599,Low,Low
Karbonn,0.03125,0.03125,0,0,800,739,739,Low,Low
Micromax,0.03125,0.03125,0,0,1450,1199,1165,Low,Low
OnePlus,8.0,256.0,16,48,4085,53380,53395,Premium,Premium
Redmi,3.0,32.0,5,13,4100,10999,10999,Budget,Budget
Gfive,0.0625,0.25,0,0,1050,649,649,Low,Low
I,0.03125,0.03125,0,0,800,1199,999,Low,Low
Lava,0.0625,0.5,0,0,1750,1504,1399,Low,Low
SSKY,0.03125,0.03125,0,1,2500,799,799,Low,Low
OPPO,8.0,256.0,16,48,4000,36990,36990,Premium,Premium
Infinix,3.0,32.0,16,13,4000,10999,10999,Budget,Budget
Blackbear,2.0,16.0,5,8,2500,4999,4999,Low,Low
Salora,0.03125,0.03125,0,1,1800,999,999,Low,Low
Itel,0.0078125,0.0078125,0,0,1900,1269,1269,Low,Low
InFocus,0.03125,0.03125,0,0,1000,1070,1070,Low,Low
Micromax,0.03125,0.03125,0,0,1750,890,1099,Low,Low
Karbonn,0.03125,0.03125,0,0,800,1190,1190,Low,Low
Karbonn,0.03125,0.03125,0,0,800,999,999,Low,Low
Salora,0.03125,0.03125,0,1,2700,1099,1099,Low,Low
Salora,0.03125,0.03125,0,1,1800,899,899,Low,Low
POCO,6.0,128.0,20,12,4000,14999,14999,Budget,Budget
Ssky,0.03125,0.03125,0,1,1800,1099,1099,Low,Low
OPPO,6.0,64.0,25,16,3500,14990,14990,Budget,Budget
Jivi,0.000976563,0.015625,0,0,1000,710,710,Low,Low
Blackbear,0.0625,0.0625,0,1,1450,1499,1320,Low,Low
Samsung,1.0,8.0,5,8,2600,8990,8990,Budget,Budget
Jivi,0.000976563,0.015625,0,0,1000,719,719,Low,Low
Realme,2.0,16.0,5,13,4230,6999,6999,Budget,Budget
Google,4.0,64.0,8,12,3700,32999,32999,Premium,Premium
Mi,6.0,128.0,20,20,3010,15999,15999,Mid-Range,Mid-Range
Winstar,0.03125,0.03125,0,0,1500,990,948,Low,Low
I,0.03125,0.0625,0,0,1500,1299,1149,Low,Low
Samsung,1.0,16.0,5,5,2600,5290,5290,Budget,Budget
I,0.03125,0.03125,0,0,1500,1299,1199,Low,Low
I,0.03125,0.0625,0,0,1000,599,479,Low,Low
Blackbear,0.03125,0.03125,0,1,1550,1499,1399,Low,Low
Samsung,4.0,64.0,16,16,4000,13990,13990,Budget,Budget
I,0.03125,0.0625,0,0,1500,1049,999,Low,Low
Asus,2.0,16.0,5,13,2070,12399,5990,Budget,Budget
Karbonn,0.03125,0.03125,0,0,1750,769,769,Low,Low
Gionee,4.0,64.0,16,13,4010,21499,21499,Mid-Range,Mid-Range
Bloom,0.03125,0.03125,0,0,1000,699,699,Low,Low
Samsung,8.0,128.0,32,64,4500,25499,27999,Mid-Range,Mid-Range
